Word,Count
the,34
a,25
is,19
we,19
to,19
and,16
roll,14
If,14
of,13
dice,12
->,12
5,11
find,10
4,10
if,9
ImageView,8
in,8
that,7
rolls,7
6,7
for,7
check,6
will,6
user,6
remaining,6
an,6
return,6
this,6
Hold,6
has,5
using,4
activeDiceLinearLayout,4
Check,4
image,4
after,4
3,4
you,4
The,4
(1),4
mHeldDiceLinearLayout,4
want,4
index,4
button,4
call,4
hold,3
IF,3
holding,3
view,3
\6,\,3
be,3
associated,3
TODO,3
else,3
are,3
on,3
with,3
where,3
requested,3
not,3
arbitrary,3
Todo,3
you'll,3
currently,3
all,3
literally,3
bitmaps,3
==,3
so,3
don't,3
cant,3
\4,\,3
currentScore,3
because,3
it,3
non-null,3
didn't,3
\"\setImageResource"\\,3
ONE,3
null,3
ImageView/Die,2
each,2
mActiveDiceLinearLayout,2
above,2
rest,2
ImageViews,2
Since,2
\"\\,2
returning,2
sum,2
>,2
found,2
by,2
make,2
but,2
\activeDiceLinearLayout,\,2
doesn't,2
\dice,\,2
Drawables,2
remain,2
method,2
compare,2
\work,\,2
Score,2
no,2
invoked,2
\"\abc"\\,2
isn't,2
through,2
continue,2
\5,\,2
Iterates,2
compares,2
(i),2
current,2
bitmap,2
:,2
diceCount,2
inside,2
LinearLayout,2
clicked;,2
held,2
0,2
at,2
or,2
NOTE:,2
active,2
Method,2
first,2
create,2
activeDiceLinearLayout.getChildAt(0);,1
(ImageView),1
\0,\,1
\example,\,1
go,1
place,1
while,1
any,1
\below,\,1
there,1
then,1
wants,1
one,1
Parameters:,1
2,1
die,1
\layout,\,1
obviously,1
ahead,1
wrong,1
given,1
\issue,\,1
finally,1
checks,1
sets,1
Finds,1
as,1
how,1
\"\Roll"\\,1
Probably,1
Only,1
whichever,1
code,1
\"\containsARoll"\\,1
fix,1
random,1
\"\containsARoll"\;\,1
=,1
comment,1
\"\rollImageView"\\,1
which,1
\necessary,\,1
0),1
\fail,\,1
\"\Hold"\\,1
available,1
heldDiceLinearLayout.getChildrenCount(),1
100%,1
line,1
prompt,1
unclickable,1
start,1
(2),1
Holds,1
\this,\,1
See,1
causing,1
should,1
(so,1
changing,1
Best,1
reduce,1
onClickHold,1
int,1
AND,1
\"\Final\,1
\if,\,1
below,1
changes,1
(presumably,1
verifying,1
(0),1
state,1
Takes,1
\6,5,4,4,5\,1
true,1
certain,1
clickable,1
abc,1
let's,1
\remaining,\,1
only,1
proper,1
9,1
reroll,1
necessary,1
NOT,1
\mActiveDiceLinearLayout,\,1
\die),\,1
false,1
keep,1
here,1
returned,1
1,1
score,1
\equal,\,1
Concept:,1
many,1
\it,\,1
put,1
Change,1
use,1
enough,1
possible,1
ever,1
\"\Current\,1
AREN'T,1
impossible,1
amount,1
Returns,1
\parameters,\,1
,1
